,"Total Assets, £",Government debt ,Other Government securities ,Other securities ,Coin and bullion,Notes in the Bank ,,Notes In circulation ,Notes in the Bank ,Capital ,Rest ,Deposits ,o/w Public deposits,o/w Special deposits,o/w Bankers deposits,Other accounts,7 day and other Bills ,Total Liabilities,Check Assets=Liabilities
1696,"3,181,978","1,200,000","1,566,262","157,358","258,358",,,"2,011,032",,"720,000","41,073","409,873",,,,,,"3,181,978",0
1697,"3,462,720","1,200,000","1,874,226","112,609","275,885",,,"1,937,400",,"1,200,000",,"325,320",,,,,,"3,462,720",0
1698,"4,213,750","1,200,000","2,404,014","180,449","429,287",,,"1,742,504",,"2,201,172","108,890","161,184",,,,,,"4,213,750",0
1699,"4,155,276","1,200,000","2,185,856","209,383","474,037","86,000",,"1,631,651","86,000","2,201,172","92,138","144,315",,,,,,"4,155,276",0
1700,"4,122,808","1,200,000","2,310,502","311,474","208,832","92,000",,"1,616,839","92,000","2,201,172","94,767","118,030",,,,,,"4,122,808",0
1701,"4,478,424","1,200,000","2,426,227","256,374","580,823","15,000",,"1,640,264","15,000","2,201,172","81,830","540,158",,,,,,"4,478,424",0
1702,"4,514,486","1,200,000","2,026,605","266,493","951,388","70,000",,"1,964,003","70,000","2,201,172","96,655","182,656",,,,,,"4,514,486",0
1703,"4,692,677","1,200,000","2,000,573","439,239","1,010,865","42,000",,"2,071,797","42,000","2,201,172","92,925","284,783",,,,,,"4,692,677",0
1704,"4,099,970","1,200,000","1,744,520","647,741","455,709","52,000",,"1,576,671","52,000","2,201,172","80,694","189,433",,,,,,"4,099,970",0
1705,"4,528,196","1,200,000","1,685,296","800,755","737,145","105,000",,"1,896,957","105,000","2,201,172","71,864","253,203",,,,,,"4,528,196",0
1706,"4,151,783","1,200,000","1,388,402","1,132,949","338,432","92,000",,"1,560,214","92,000","2,201,172","74,613","223,784",,,,,,"4,151,783",0
1707,"3,741,839","1,200,000","1,811,375","255,135","433,329","42,000",,"1,769,967","42,000","1,200,000","78,397","651,475",,,,,,"3,741,839",0
1708,"4,082,398","1,200,000","1,821,950","494,127","446,321","120,000",,"1,399,041","120,000","1,200,000","71,225","1,292,132",,,,,,"4,082,398",0
1709,"6,137,425","1,600,000","3,110,417","784,915","362,093","280,000",,"963,875","280,000","4,402,343","150,686","340,521",,,,,,"6,137,425",0
1710,"6,205,627","3,375,028","1,763,767","771,170","105,662","190,000",,"598,230","190,000","5,058,547","143,511","215,339",,,,,,"6,205,627",0
1711,"7,006,363","3,375,028","2,149,154","643,385","666,796","172,000",,"729,634","172,000","5,559,996","170,495","374,238",,,,,,"7,006,363",0
1712,"8,292,545","3,375,028","2,585,036","1,288,487","763,994","280,000",,"1,937,601","280,000","5,559,996","183,942","331,006",,,,,,"8,292,545",0
1713,"7,244,640","3,375,028","1,136,609","1,647,368","875,635","210,000",,"803,613","210,000","5,559,996","193,872","477,159",,,,,,"7,244,640",0
1714,"8,942,721","3,375,028","2,423,694","1,732,811","1,152,188","259,000",,"1,512,188","259,000","5,559,996","190,523","1,421,014",,,,,,"8,942,721",0
1715,"7,380,719","3,375,028","1,769,385","1,054,679","914,627","267,000",,"828,451","267,000","5,559,996","214,620","510,652",,,,,,"7,380,719",0
1716,"9,109,832","3,375,028","3,101,308","650,642","1,592,854","390,000",,"1,763,232","390,000","5,559,996","218,786","1,177,818",,,,,,"9,109,832",0
1717,"8,933,643","3,375,028","2,666,869","471,613","1,914,133","506,000",,"1,707,434","506,000","5,559,996","232,248","927,965",,,,,,"8,933,643",0
1718,"8,466,931","5,375,028","1,121,570","797,647","851,686","321,000",,"1,494,042","321,000","5,559,996","216,195","875,698",,,,,,"8,466,931",0
1719,"8,582,333","5,375,028","324,197","1,220,012","1,313,096","350,000",,"1,596,954","350,000","5,559,996","171,910","903,473",,,,,,"8,582,333",0
1720,"10,380,847","5,375,028","624,836","2,837,274","1,000,709","543,000",,"2,493,968","543,000","5,559,996","145,062","1,638,821",,,,,,"10,380,847",0
1721,"9,371,246","5,375,028","893,407","1,770,422","1,071,389","261,000",,"1,950,509","261,000","5,559,996","132,885","1,465,799",,,,,"1,057","9,371,246",0
1722,"10,914,033","5,375,028","2,751,945","1,227,980","1,314,080","245,000",,"2,761,208","245,000","5,559,996","166,043","2,181,063",,,,,723,"10,914,033",0
1723,"13,394,876","5,375,028","4,525,530","1,616,226","1,719,092","159,000",,"3,323,374","159,000","5,559,996","410,295","3,942,169",,,,,42,"13,394,876",0
1724,"15,865,782","5,375,028","6,896,203","1,558,721","1,937,830","98,000",,"3,759,892","98,000","5,559,996","537,070","5,910,799",,,,,25,"15,865,782",0
1725,"14,772,328","9,375,028","3,254,354","862,515","1,197,431","83,000",,"3,237,477","83,000","8,959,996","283,003","2,185,735",,,,,"23,117","14,772,328",0
1726,"15,021,560","9,375,028","2,673,765","946,650","1,863,117","163,000",,"2,986,573","163,000","8,959,996","310,935","2,598,081",,,,,"2,975","15,021,560",0
1727,"17,121,338","9,375,028","3,534,343","857,626","3,161,341","193,000",,"4,465,241","193,000","8,959,996","303,019","3,180,479",,,,,"19,603","17,121,338",0
1728,"16,970,764","10,125,027","3,577,215","557,935","2,489,587","221,000",,"4,279,876","221,000","8,959,996","282,920","3,213,848",,,,,"13,124","16,970,764",0
1729,"16,404,102","10,100,000","2,910,190","934,738","2,314,174","145,000",,"4,159,916","145,000","8,959,996","289,977","2,809,012",,,,,"40,201","16,404,102",0
1730,"16,654,070","10,100,000","3,114,345","977,648","2,207,077","255,000",,"4,381,000","255,000","8,959,996","297,661","2,724,338",,,,,"36,075","16,654,070",0
1731,"16,748,063","10,100,000","2,831,606","969,095","2,718,362","129,000",,"5,201,861","129,000","8,959,996","295,357","2,113,630",,,,,"48,219","16,748,063",0
1732,"17,170,934","10,100,000","2,621,294","1,064,914","3,296,726","88,000",,"4,547,700","88,000","8,959,996","279,966","3,250,370",,,,,"44,902","17,170,934",0
1733,"16,918,787","10,100,000","2,337,512","751,348","3,430,927","299,000",,"4,487,251","299,000","8,959,996","274,721","2,841,870",,,,,"55,949","16,918,787",0
1734,"17,707,312","10,100,000","2,948,515","664,319","3,886,478","108,000",,"4,586,840","108,000","8,959,996","277,676","3,689,502",,,,,"85,298","17,707,312",0
1735,"17,766,976","10,100,000","3,178,500","672,687","3,735,789","80,000",,"4,635,755","80,000","8,959,996","283,822","3,704,402",,,,,"103,001","17,766,976",0
1736,"17,882,281","10,100,000","3,146,264","561,999","3,988,018","86,000",,"4,974,206","86,000","8,959,996","290,680","3,467,827",,,,,"103,572","17,882,281",0
1737,"17,239,857","10,100,000","3,037,964","678,544","3,317,349","106,000",,"4,314,498","106,000","8,959,996","308,940","3,450,025",,,,,"100,398","17,239,857",0
1738,"17,433,637","10,100,000","3,331,766","564,927","3,354,944","82,000",,"4,499,928","82,000","8,959,996","307,829","3,474,191",,,,,"109,693","17,433,637",0
1739,"17,131,876","9,100,000","3,245,666","618,045","4,087,165","81,000",,"4,033,021","81,000","8,959,996","307,477","3,630,772",,,,,"119,610","17,131,876",0
1740,"17,775,373","9,100,000","3,054,899","562,482","4,900,992","157,000",,"4,349,366","157,000","8,959,996","307,652","3,906,527",,,,,"94,832","17,775,373",0
1741,"17,706,937","9,100,000","3,814,476","653,662","4,054,799","84,000",,"3,982,296","84,000","8,959,996","300,013","4,278,272",,,,,"102,360","17,706,937",0
1742,"18,407,960","9,100,000","5,083,795","645,059","3,424,106","155,000",,"4,781,753","155,000","8,959,996","324,836","4,056,530",,,,,"129,845","18,407,960",0
1743,"18,405,578","10,700,000","4,398,942","609,409","2,603,227","94,000",,"4,111,574","94,000","9,800,000","352,385","3,908,805",,,,,"138,814","18,405,578",0
1744,"18,338,336","10,700,000","5,504,351","283,043","1,731,942","119,000",,"4,154,871","119,000","9,800,000","369,630","3,778,911",,,,,"115,924","18,338,336",0
1745,"16,793,084","10,700,000","4,816,021","381,105","807,958","88,000",,"3,343,182","88,000","9,800,000","346,071","3,093,657",,,,,"122,174","16,793,084",0
1746,"18,383,535","11,686,800","3,934,623","355,577","2,334,535","72,000",,"3,772,087","72,000","9,800,000","307,865","4,361,163",,,,,"70,420","18,383,535",0
1747,"18,156,162","11,686,800","3,581,632","504,263","2,335,467","48,000",,"3,553,624","48,000","10,780,000","279,482","3,396,366",,,,,"98,690","18,156,162",0
1748,"17,585,986","11,686,800","3,021,293","610,523","2,179,370","88,000",,"3,676,747","88,000","10,780,000","279,666","2,648,600",,,,,"112,973","17,585,986",0
